filename,raw_read_count_1,raw_read_count_2,raw_mean_length_1,raw_mean_length_2,fastp_read_count_1,fastp_read_count_2,fastp_mean_length_1,fastp_mean_length_2,hisat_human_read_count,bowtie_human_read_count
throat_with_pathogen_02_3,1000000,1000000,151.0,151.0,998272,998272,150.83633017854854,150.838994782985,163933,162606
throat_with_pathogen_02_4,1000000,1000000,151.0,151.0,998257,998257,150.83885412273594,150.8414596641947,163930,162627
throat_with_pathogen_02_5,1000000,1000000,151.0,151.0,998274,998274,150.83788619156664,150.84112077445673,163933,162624
throat_with_pathogen_02_6,1000000,1000000,151.0,151.0,998310,998310,150.8370055393615,150.8395037613567,163948,162624
throat_with_pathogen_02_7,1000000,1000000,151.0,151.0,998268,998268,150.83817171340763,150.84123602078802,163934,162630
throat_with_pathogen_02_8,1000000,1000000,151.0,151.0,998251,998251,150.83756890802013,150.8401894914205,163920,162619
throat_with_pathogen_02_9,1000000,1000000,151.0,151.0,998271,998271,150.83810308022572,150.84120344074904,163921,162636
throat_with_pathogen_03_1,1000000,1000000,151.0,151.0,998214,998214,150.8293993071626,150.83238864612198,114005,112629
throat_with_pathogen_03_10,1000000,1000000,151.0,151.0,998161,998161,150.82872903269111,150.83144102003584,113960,112630
throat_with_pathogen_03_2,1000000,1000000,151.0,151.0,998197,998197,150.82983619465898,150.83256110767715,114007,112626
throat_with_pathogen_03_3,1000000,1000000,151.0,151.0,998181,998181,150.82898392175366,150.8325163472356,114007,112636
throat_with_pathogen_03_4,1000000,1000000,151.0,151.0,998189,998189,150.8293469473216,150.83268599433575,113988,112609
throat_with_pathogen_03_5,1000000,1000000,151.0,151.0,998180,998180,150.83026107515678,150.83296399446994,113969,112613
throat_with_pathogen_03_6,1000000,1000000,151.0,151.0,998182,998182,150.82918646098608,150.83185330931633,113968,112614
throat_with_pathogen_03_7,1000000,1000000,151.0,151.0,998182,998182,150.82829484001917,150.83093263553138,113965,112620
throat_with_pathogen_03_8,1000000,1000000,151.0,151.0,998206,998206,150.82870068903614,150.83180225324233,113969,112608
throat_with_pathogen_03_9,1000000,1000000,151.0,151.0,998189,998189,150.82949221039303,150.83239647000718,113967,112620
throat_with_pathogen_04_1,1000000,1000000,151.0,151.0,998354,998354,150.84068677042413,150.84348738022786,202788,201542
throat_with_pathogen_04_10,1000000,1000000,151.0,151.0,998329,998329,150.84363571528024,150.84626510899713,202771,201551
throat_with_pathogen_04_2,1000000,1000000,151.0,151.0,998335,998335,150.8405995983312,150.84269208231706,202772,201545
throat_with_pathogen_04_3,1000000,1000000,151.0,151.0,998348,998348,150.8424487252942,150.84477757254984,202764,201562
throat_with_pathogen_04_4,1000000,1000000,151.0,151.0,998338,998338,150.84332660882387,150.84688552374047,202769,201556
throat_with_pathogen_04_5,1000000,1000000,151.0,151.0,998337,998337,150.84238488606553,150.84607301943132,202771,201541
throat_with_pathogen_04_6,1000000,1000000,151.0,151.0,998356,998356,150.84283261682205,150.8457804630813,202772,201546
throat_with_pathogen_04_7,1000000,1000000,151.0,151.0,998347,998347,150.84054241661465,150.84326692021912,202783,201557
throat_with_pathogen_04_8,1000000,1000000,151.0,151.0,998361,998361,150.8444200043872,150.84746299184363,202767,201552
throat_with_pathogen_04_9,1000000,1000000,151.0,151.0,998345,998345,150.84359915660417,150.84623752310074,202774,201559
