AP023461.1	9606	Homo sapiens
NC_045512.2	2697049	SARS-CoV-2
MP467583.1	114727	Influenza A (H1N1)
MW587061.1	147711	Rhinovirus A
NZ_CP137212.1	37637	Corynebacterium pseudodiphtheriticum
NZ_CP040423.1	29394	Dolosigranulum pigrum
NZ_CP160099.1	480	Moraxella catarrhalis
NZ_CP127167.1	729	Haemophilus parainfluenzae
NZ_CP031324.1	487	Neisseria meningitidis
NZ_LR134477.1	1656	Actinomyces viscosus
NZ_CP012067.1	732	Aggregatibacter aphrophilus
NZ_UFSN01000003.1	1652	Alloiococcus otitis
NZ_CP110228.1	1018	Capnocytophaga ochracea
NZ_CP131715.1	1313	Streptococcus pneumoniae
NZ_CP131719.1	727	Haemophilus influenzae
NZ_CP034670.1	539	Eikenella corrodens
NZ_CP084140.1	851	Fusobacterium nucleatum
NZ_CP083637.1	1379	Gemella haemolysans
NZ_CP102283.1	46124	Granulicatella adiacens
NZ_CP065999.1	502	Kingella denitrificans
NZ_CP071801.1	1596	Lactobacillus gasseri
NZ_CP146288.1	47671	Lautropia mirabilis
NZ_CP012390.1	1528099	Lawsonella clevelandensis
NC_013192.1	40542	Leptotrichia buccalis
NZ_CP039887.1	28449	Neisseria subflava
NZ_CP083629.1	28124	Porphyromonas endodontalis
NZ_CP085943.1	28132	Prevotella melaninogenica
NZ_CP178326.1	43675	Rothia mucilaginosa
NZ_CP046315.1	1660	Schaalia odontolytica
NZ_CP131668.1	1280	Staphylococcus aureus
NZ_CP185264.1	1302	Streptococcus gordonii
NZ_CP185275.1	28037	Streptococcus mitis
NZ_CP054153.1	1304	Streptococcus salivarius
NZ_CP019721.1	29466	Veillonella parvula
CAKAGO010000001.1	35517	[Eubacterium] brachy
NZ_CP053988.1	46125	Abiotrophia defectiva
NZ_AP028040.1	85698	Achromobacter xylosoxidans
CP097095.1	55565	Actinomyces graevenitzii
NZ_CP124548.1	1659	Actinomyces israelii
NZ_CP014232.1	544580	Actinomyces oris
NZ_CP118095.1	87541	Aerococcus christensenii
CAKAFU010000002.1	76122	Alloprevotella tannerae
NZ_CP184347.1	310300	Bacteroides pyogenes
NZ_CP066050.1	529	Brucella anthropi
NZ_CP085963.1	824	Campylobacter gracilis
NZ_CP171122.1	45242	Capnocytophaga granulosa
NZ_CP022385.1	1019	Capnocytophaga sputigena
NZ_CP021383.1	1710	Cellulosimicrobium cellulans
NZ_CP047200.1	61592	Corynebacterium durum
NZ_CP050134.2	43768	Corynebacterium matruchotii
