parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
2609290,1,bacteria,2875948,Microbacterium sp. cx-55,1,1
2609290,1,bacteria,2268461,Microbacterium sp. ABRD_28,1,1
2609290,1,bacteria,2483401,Microbacterium sp. 10M-3C3,1,1
33882,1,bacteria,1526412,Microbacterium endophyticum,6,6
33882,1,bacteria,2033,Microbacterium testaceum,4,4
33882,1,bacteria,2782167,Microbacterium luteum,3,3
33882,1,bacteria,273678,Microbacterium hydrocarbonoxydans,2,2
33882,1,bacteria,904291,Microbacterium sediminis,2,2
33882,1,bacteria,300019,Microbacterium paludicola,2,2
33882,1,bacteria,370764,Microbacterium pygmaeum,1,1
33882,1,bacteria,2509458,Microbacterium protaetiae,1,1
33882,1,bacteria,36805,Microbacterium aurum,1,1
33882,1,bacteria,936337,Microbacterium amylolyticum,1,1
33882,1,bacteria,57043,Microbacterium esteraromaticum,1,1
33882,1,bacteria,2614638,Microbacterium caowuchunii,1,1
33882,1,bacteria,462710,Microbacterium binotii,1,1
33882,1,bacteria,104336,Microbacterium foliorum,1,1
33882,1,bacteria,344163,Microbacterium terricola,1,1
33882,1,bacteria,84292,Microbacterium chocolatum,1,1
33882,1,bacteria,199592,Microbacterium paraoxydans,1,1
33882,1,bacteria,2708079,Microbacterium fandaimingii,1,1
85023,2,bacteria,120212,Subtercola,16,17
120212,2,bacteria,2648727,unclassified Subtercola,16,17
2648727,1,bacteria,2846775,Subtercola sp. PAMC28395,15,16
2648727,1,bacteria,2895559,Subtercola sp. AK-R2A1-2,1,1
85023,2,bacteria,33886,Rathayibacter,14,15
33886,1,bacteria,145458,Rathayibacter toxicus,7,7
33886,1,bacteria,33887,Rathayibacter rathayi,2,2
33886,1,bacteria,1671680,Rathayibacter tanaceti,2,2
33886,1,bacteria,110937,Rathayibacter festucae,1,1
33886,2,bacteria,2609250,unclassified Rathayibacter,1,1
2609250,1,bacteria,2609253,Rathayibacter sp. VKM Ac-2760,1,1
85023,2,bacteria,55968,Leucobacter,11,11
55968,2,bacteria,2621730,unclassified Leucobacter,4,4
2621730,1,bacteria,2813744,Leucobacter sp. CX169,1,1
2621730,1,bacteria,2873270,Leucobacter sp. NB 10,1,1
2621730,1,bacteria,2875729,Leucobacter sp. Psy1,1,1
55968,1,bacteria,1935379,Leucobacter muris,2,2
55968,1,bacteria,2714935,Leucobacter viscericola,2,2
55968,1,bacteria,683042,Leucobacter denitrificans,1,1
55968,1,bacteria,1784719,Leucobacter triazinivorans,1,1
55968,1,bacteria,2714933,Leucobacter coleopterorum,1,1
85023,2,bacteria,235888,Salinibacterium,11,11
235888,2,bacteria,2632331,unclassified Salinibacterium,9,9
2632331,1,bacteria,2708338,Salinibacterium sp. ZJ450,6,6
2632331,1,bacteria,2508880,Salinibacterium sp. UTAS2018,1,1
2632331,1,bacteria,2583374,Salinibacterium sp. M195,1,1
2632331,1,bacteria,2708084,Salinibacterium sp. ZJ70,1,1
85023,2,bacteria,1573,Clavibacter,9,9
1573,1,bacteria,28447,Clavibacter michiganensis,6,6
1573,1,bacteria,1734031,Clavibacter phaseoli,3,3
85023,2,bacteria,447237,Frondihabitans,7,7
447237,2,bacteria,2626248,unclassified Frondihabitans,7,7
2626248,1,bacteria,1446794,Frondihabitans sp. 762G35,7,7
85023,2,bacteria,337004,Microcella,7,7
337004,1,bacteria,279828,Microcella alkaliphila,6,6
337004,2,bacteria,2630066,unclassified Microcella,1,1
2630066,1,bacteria,2994971,Microcella sp. MMS21-STM12,1,1
1655489,2,bacteria,529883,Rhodoluna,6,6
529883,1,bacteria,232537,Rhodoluna limnophila,1,1
529883,1,bacteria,529884,Rhodoluna lacicola,1,1
529883,2,bacteria,2646754,unclassified Rhodoluna,1,1
2646754,1,bacteria,942880,Rhodoluna sp. KAS3,1,1
1655489,2,bacteria,529881,Aquiluna,1,1
529881,2,bacteria,2617988,unclassified Aquiluna,1,1
2617988,1,bacteria,2968831,Aquiluna sp. KACHI24,1,1
85023,2,bacteria,33877,Agromyces,6,6
33877,2,bacteria,2639701,unclassified Agromyces,2,2
2639701,1,bacteria,2929802,Agromyces sp. CFWR-12,2,2
33877,1,bacteria,659012,Agromyces soli,1,1
85023,2,bacteria,76634,Mycetocola,6,6
76634,2,bacteria,2685235,unclassified Mycetocola,5,5
2685235,1,bacteria,2116510,Mycetocola sp. JXN-3,5,5
76634,1,bacteria,2079792,Mycetocola zhujimingii,1,1
85023,2,bacteria,1759331,Cnuibacter,5,5
1759331,1,bacteria,1619308,Cnuibacter physcomitrellae,5,5
85023,2,bacteria,110932,Leifsonia,5,5
110932,1,bacteria,1575,Leifsonia xyli,3,3
85023,2,bacteria,1705353,Aurantimicrobium,4,4
1705353,1,bacteria,708131,Aurantimicrobium minutum,1,1
1705353,1,bacteria,1987356,Aurantimicrobium photophilum,1,1
85023,2,bacteria,1649457,Homoserinibacter,3,3
1649457,2,bacteria,2649549,unclassified Homoserinibacter,3,3
2649549,1,bacteria,2985506,Homoserinibacter sp. YIM 151385,3,3
85023,2,bacteria,2034,Curtobacterium,3,3
2034,1,bacteria,2035,Curtobacterium flaccumfaciens,2,2
2034,2,bacteria,257496,unclassified Curtobacterium,1,1
257496,1,bacteria,2876939,Curtobacterium sp. TXMA1,1,1
85023,2,bacteria,1195526,Gryllotalpicola,2,2
1195526,1,bacteria,2419771,Gryllotalpicola protaetiae,2,2
85023,2,bacteria,2680004,Protaetiibacter,2,2
2680004,1,bacteria,2419774,Protaetiibacter intestinalis,1,1
2680004,2,bacteria,2680006,unclassified Protaetiibacter,1,1
2680006,1,bacteria,2759943,Protaetiibacter sp. SSC-01,1,1
85023,2,bacteria,256818,Gulosibacter,2,2
256818,1,bacteria,256821,Gulosibacter molinativorax,1,1
256818,1,bacteria,1729695,Gulosibacter sediminis,1,1
85023,2,bacteria,96492,Frigoribacterium,2,2
96492,2,bacteria,2627005,unclassified Frigoribacterium,2,2
2627005,1,bacteria,2994664,Frigoribacterium sp. SL97,2,2
85023,2,bacteria,46352,Agrococcus,2,2
46352,1,bacteria,684552,Agrococcus carbonis,1,1
85023,2,bacteria,881616,Herbiconiux,1,1
881616,2,bacteria,2618217,unclassified Herbiconiux,1,1
2618217,1,bacteria,2735133,Herbiconiux sp. SALV-R1,1,1
85023,2,bacteria,1331730,Chryseoglobus,1,1
1331730,2,bacteria,2642974,unclassified Chryseoglobus,1,1
2642974,1,bacteria,2772253,Chryseoglobus sp. 28M-23,1,1
85023,2,bacteria,190323,Plantibacter,1,1
190323,1,bacteria,150123,Plantibacter flavus,1,1
85023,2,bacteria,69578,Cryobacterium,1,1
85019,2,bacteria,1696,Brevibacterium,91,98
1696,2,bacteria,2614124,unclassified Brevibacterium,25,26
2614124,1,bacteria,2823518,Brevibacterium sp. W7.2,11,11
2614124,1,bacteria,2886045,Brevibacterium sp. JSBI002,6,6
2614124,1,bacteria,2777556,Brevibacterium sp. SMBL_HHYL_HB1,4,4
2614124,1,bacteria,2575923,Brevibacterium sp. CS2,1,1
1696,1,bacteria,33889,Brevibacterium casei,17,18
1696,1,bacteria,1496080,Brevibacterium pigmentatum,4,4
1696,1,bacteria,273384,Brevibacterium aurantiacum,3,3
1696,1,bacteria,2697563,Brevibacterium atlanticum,3,3
