parent_tax_id,tax_level,category,tax_id,name,kraken_classified_reads,nt_rpm
29907,1,eukaryota,545650,Sporothrix brasiliensis,1,2
28983,2,eukaryota,5179,Sclerotinia,4,9
5179,1,eukaryota,5180,Sclerotinia sclerotiorum,4,9
28983,2,eukaryota,33196,Botrytis,4,9
33196,1,eukaryota,40559,Botrytis cinerea,4,9
603431,2,eukaryota,5569,Cenococcum,5,11
5569,1,eukaryota,5570,Cenococcum geophilum,5,11
93133,2,eukaryota,1047167,Zymoseptoria,1,2
1047167,1,eukaryota,1047171,Zymoseptoria tritici,1,2
2937349,2,eukaryota,2964429,Candida/Metschnikowiaceae,5,11
2964429,1,eukaryota,45357,[Candida] haemuloni,5,11
4893,2,eukaryota,374468,Nakaseomyces,1,2
374468,1,eukaryota,5478,Nakaseomyces glabratus,1,2
4894,2,eukaryota,4895,Schizosaccharomyces,9,20
4895,1,eukaryota,4897,Schizosaccharomyces japonicus,8,18
4895,1,eukaryota,4899,Schizosaccharomyces octosporus,1,2
742845,2,eukaryota,55193,Malassezia,80,185
55193,1,eukaryota,76775,Malassezia restricta,74,171
55193,1,eukaryota,76773,Malassezia globosa,6,13
5268,2,eukaryota,63265,Sporisorium,4,9
63265,1,eukaryota,72558,Sporisorium reilianum,4,9
5268,2,eukaryota,5269,Ustilago,1,2
5269,1,eukaryota,5270,Ustilago maydis,1,2
1884633,2,eukaryota,5206,Cryptococcus,2,4
5206,2,eukaryota,1884637,Cryptococcus gattii species complex,2,4
1884637,1,eukaryota,1859121,Cryptococcus gattii VGIV,2,4
1884633,2,eukaryota,490731,Kwoniella,2,4
490731,1,eukaryota,324770,Kwoniella dejecticola,2,4
5215,2,eukaryota,105767,Tremella,2,4
105767,1,eukaryota,5217,Tremella mesenterica,2,4
5408,2,eukaryota,1851509,Naganishia,5,11
1851509,1,eukaryota,100951,Naganishia albida,5,11
5259,2,eukaryota,5260,Melampsora,1,2
5260,1,eukaryota,203908,Melampsora laricis-populina,1,2
4806,2,eukaryota,28581,Allomyces,15,34
28581,1,eukaryota,28583,Allomyces macrogynus,15,34
34479,2,eukaryota,4815,Spizellomyces,9,20
4815,1,eukaryota,109760,Spizellomyces punctatus,9,20
36751,2,eukaryota,1129544,Rhizophagus,4,9
1129544,1,eukaryota,588596,Rhizophagus irregularis,4,9
1344966,2,eukaryota,4836,Phycomyces,2,4
4836,1,eukaryota,4837,Phycomyces blakesleeanus,2,4
34489,2,eukaryota,4830,Mucor,1,2
4830,1,eukaryota,29924,Mucor lusitanicus,1,2
27970,2,eukaryota,27971,Enterocytozoon,4,9
27971,1,eukaryota,646526,Enterocytozoon hepatopenaei,4,9
1286322,2,eukaryota,5658,Leishmania,37,85
5658,2,eukaryota,38568,Leishmania,30,69
38568,2,eukaryota,38574,Leishmania donovani species complex,29,67
38568,2,eukaryota,38581,Leishmania major species complex,1,2
38581,1,eukaryota,5664,Leishmania major,1,2
5658,2,eukaryota,5688,lizard Leishmania,4,9
5688,1,eukaryota,5689,Leishmania tarentolae,4,9
5658,2,eukaryota,37616,Viannia,2,4
37616,2,eukaryota,37617,Leishmania braziliensis species complex,2,4
37617,1,eukaryota,5660,Leishmania braziliensis,2,4
1286322,2,eukaryota,5683,Leptomonas,5,11
5683,1,eukaryota,5684,Leptomonas seymouri,4,9
5683,1,eukaryota,157538,Leptomonas pyrrhocoris,1,2
5654,2,eukaryota,5690,Trypanosoma,20,46
5690,2,eukaryota,47570,Schizotrypanum,7,16
47570,1,eukaryota,5693,Trypanosoma cruzi,7,16
5690,2,eukaryota,39701,Herpetosoma,4,9
39701,1,eukaryota,5698,Trypanosoma rangeli,4,9
5690,2,eukaryota,669453,Trypanosoma with unspecified subgenus,3,6
669453,1,eukaryota,67003,Trypanosoma theileri,3,6
5690,2,eukaryota,39700,Trypanozoon,2,4
39700,1,eukaryota,5691,Trypanosoma brucei,2,4
5690,2,eukaryota,47569,Nannomonas,2,4
47569,1,eukaryota,5692,Trypanosoma congolense,2,4
5654,2,eukaryota,1470208,Paratrypanosoma,1,2
1470208,1,eukaryota,1470209,Paratrypanosoma confusum,1,2
5708,2,eukaryota,5712,Bodo,2,4
5712,1,eukaryota,75058,Bodo saltans,2,4
5765,2,eukaryota,5761,Naegleria,6,13
5761,1,eukaryota,5763,Naegleria fowleri,6,13
68459,2,eukaryota,5740,Giardia,1,2
5740,1,eukaryota,5741,Giardia intestinalis,1,2
302780,2,eukaryota,302781,Monocercomonoides,1,2
302781,1,eukaryota,2049356,Monocercomonoides exilis,1,2
1113537,2,bacteria,810,Chlamydia,1,2
810,1,bacteria,83556,Chlamydia felis,1,2
